SpecimenID,Species,SamplingCategory,YearSampled,State,SiteInfo,lat,lon,Sp,Species_samplingcategory
101994,Prairie Warbler,historic,1900,Massachusetts,West Quincy,42.235,-71.046,PRAW,PRAW_historic
10693,Blackpoll Warbler,contemporary,2008,New York,"Blackhead Mountain, Greene County",42.266,-74.104,BLPW,BLPW_contemporary
10765,Blackpoll Warbler,contemporary,2008,New York,"Blackhead Mountain, Greene County",42.266,-74.104,BLPW,BLPW_contemporary
10921,Myrtle Warbler,historic,1941,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
10922,Myrtle Warbler,historic,1941,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
10923,Myrtle Warbler,historic,1941,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
10924,Myrtle Warbler,historic,1941,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
10989,Blackpoll Warbler,contemporary,2009,New York,"Blackhead Mountain, Greene County",42.266,-74.104,BLPW,BLPW_contemporary
11065,Black-throated Blue Warbler,historic,1888,Michigan,Jackson County,42.315,-84.242,BTBW,BTBW_historic
11066,Black-throated Blue Warbler,historic,1888,Michigan,Jackson County,42.315,-84.242,BTBW,BTBW_historic
11077,Blackpoll Warbler,contemporary,2010,New York,"Blackhead Mountain, Greene County",42.266,-74.104,BLPW,BLPW_contemporary
11078,Blackpoll Warbler,contemporary,2010,New York,"Blackhead Mountain, Greene County",42.266,-74.104,BLPW,BLPW_contemporary
11079,Blackpoll Warbler,contemporary,2010,New York,"Blackhead Mountain, Greene County",42.266,-74.104,BLPW,BLPW_contemporary
11089,Blackpoll Warbler,contemporary,2010,New York,"Blackhead Mountain, Greene County",42.266,-74.104,BLPW,BLPW_contemporary
1116,Blackpoll Warbler,contemporary,2012,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
1118,Myrtle Warbler,contemporary,2012,Vermont,Lamoille - Mount Mansfield,44.543,-72.814,YRWA,YRWA_contemporary
1120,Myrtle Warbler,contemporary,2012,Vermont,Lamoille - Mount Mansfield,44.543,-72.814,YRWA,YRWA_contemporary
1121,Myrtle Warbler,contemporary,2012,Vermont,Lamoille - Mount Mansfield,44.543,-72.814,YRWA,YRWA_contemporary
1124,Myrtle Warbler,contemporary,2012,Vermont,Lamoille - Mount Mansfield,44.543,-72.814,YRWA,YRWA_contemporary
1136,Myrtle Warbler,contemporary,2012,Vermont,Lamoille - Mount Mansfield,44.543,-72.814,YRWA,YRWA_contemporary
1138,Myrtle Warbler,contemporary,2012,Vermont,Lamoille - Mount Mansfield,44.543,-72.814,YRWA,YRWA_contemporary
1143,Blackpoll Warbler,contemporary,2012,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
1144,Myrtle Warbler,contemporary,2012,Vermont,Lamoille - Mount Mansfield,44.543,-72.814,YRWA,YRWA_contemporary
1148,Myrtle Warbler,contemporary,2012,Vermont,Lamoille - Mount Mansfield,44.543,-72.814,YRWA,YRWA_contemporary
1149,Blackpoll Warbler,contemporary,2012,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
1151,Myrtle Warbler,contemporary,2012,Vermont,Lamoille - Mount Mansfield,44.543,-72.814,YRWA,YRWA_contemporary
1152,Myrtle Warbler,contemporary,2012,Vermont,Lamoille - Mount Mansfield,44.543,-72.814,YRWA,YRWA_contemporary
127948,Myrtle Warbler,historic,1924,Vermont,North Thetford,43.844,-72.186,YRWA,YRWA_historic
127950,Myrtle Warbler,historic,1924,Vermont,Killington Peak,43.604,-72.819,YRWA,YRWA_historic
127951,Myrtle Warbler,historic,1927,Vermont,Killington Peak,43.604,-72.819,YRWA,YRWA_historic
128080,Prairie Warbler,historic,1920,Massachusetts,Harvard - Worcester County,42.395,-71.915,PRAW,PRAW_historic
128081,Prairie Warbler,historic,1922,Massachusetts,Harvard - Worcester County,42.395,-71.915,PRAW,PRAW_historic
128084,Prairie Warbler,historic,1926,Massachusetts,Harvard - Worcester County,42.395,-71.915,PRAW,PRAW_historic
128086,Prairie Warbler,historic,1913,Massachusetts,Harvard - Worcester County,42.395,-71.915,PRAW,PRAW_historic
15625,Myrtle Warbler,historic,1942,New York,Panther Gorge - Adirondack Area,44.093,-73.915,YRWA,YRWA_historic
16246,Black-throated Blue Warbler,historic,1909,New York,Ithaca,42.448,-76.497,BTBW,BTBW_historic
16255,Black-throated Blue Warbler,historic,1900,New York,Scarborough,41.136,-73.864,BTBW,BTBW_historic
16256,Black-throated Blue Warbler,historic,1894,New York,Potsdam,44.657,-74.978,BTBW,BTBW_historic
16269,Myrtle Warbler,historic,1900,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
16270,Myrtle Warbler,historic,1902,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
16272,Myrtle Warbler,historic,1909,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
16273,Myrtle Warbler,historic,1923,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
16274,Myrtle Warbler,historic,1924,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
16275,Myrtle Warbler,historic,1923,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
16277,Myrtle Warbler,historic,1930,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
16278,Myrtle Warbler,historic,1930,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
16281,Myrtle Warbler,historic,1939,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
16283,Myrtle Warbler,historic,1909,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
16288,Myrtle Warbler,historic,1940,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
16289,Myrtle Warbler,historic,1940,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
16290,Myrtle Warbler,historic,1899,New York,"Harrietstown Township, Wawbeek - Adirondack Area",44.253,-74.339,YRWA,YRWA_historic
165394,Prairie Warbler,historic,1879,Massachusetts,Swampscott,42.478,-70.909,PRAW,PRAW_historic
165395,Prairie Warbler,historic,1879,Massachusetts,Swampscott,42.478,-70.909,PRAW,PRAW_historic
165397,Prairie Warbler,historic,1879,Massachusetts,Swampscott,42.478,-70.909,PRAW,PRAW_historic
1670,Blackpoll Warbler,contemporary,2010,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
1671,Blackpoll Warbler,contemporary,2010,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
1672,Blackpoll Warbler,contemporary,2010,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
1673,Blackpoll Warbler,contemporary,2010,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
1674,Blackpoll Warbler,contemporary,2010,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
1675,Blackpoll Warbler,contemporary,2010,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
1676,Blackpoll Warbler,contemporary,2010,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
1677,Blackpoll Warbler,contemporary,2010,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
1679,Blackpoll Warbler,contemporary,2010,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
1680,Blackpoll Warbler,contemporary,2010,Vermont,Mount Mansfield,44.543,-72.814,BLPW,BLPW_contemporary
17240,Blackpoll Warbler,historic,1896,New York,Cayuga County - Cayuga,42.915,-76.716,BLPW,BLPW_historic
17304,Prairie Warbler,historic,1888,Arkansas,Cleburne County,35.556,-92.012,PRAW,PRAW_historic
17305,Prairie Warbler,historic,1888,Arkansas,Cleburne County,35.556,-92.012,PRAW,PRAW_historic
17306,Prairie Warbler,historic,1888,Arkansas,Cleburne County,35.556,-92.012,PRAW,PRAW_historic
17314,Prairie Warbler,historic,1872,Massachusetts,Norfolk County - Needham,42.279,-71.196,PRAW,PRAW_historic
17316,Prairie Warbler,historic,1888,Arkansas,Cleburne County,35.556,-92.012,PRAW,PRAW_historic
17317,Prairie Warbler,historic,1912,Massachusetts,Bristol county - Taunton,41.887,-71.088,PRAW,PRAW_historic
17323,Prairie Warbler,historic,1879,Massachusetts,Barnstable County - Sandwich ,41.74,-70.506,PRAW,PRAW_historic
19350,Prairie Warbler,historic,1888,Arkansas,Cleburne County,35.556,-92.012,PRAW,PRAW_historic
196,Prairie Warbler,contemporary,2012,Massachusetts,Montague area,42.544,-72.514,PRAW,PRAW_contemporary
202182,Prairie Warbler,historic,1877,Massachusetts,Middlesex,42.541,-71.379,PRAW,PRAW_historic
21308,Black-throated Blue Warbler,historic,1947,New York,Ithaca,42.448,-76.497,BTBW,BTBW_historic
21361,Myrtle Warbler,historic,1947,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
218495,Black-throated Blue Warbler,historic,1888,Michigan,?,45.425,-86.4834,BTBW,BTBW_historic
218496,Black-throated Blue Warbler,historic,1888,Michigan,?,45.425,-86.4834,BTBW,BTBW_historic
218498,Black-throated Blue Warbler,historic,1888,Michigan,?,45.425,-86.4834,BTBW,BTBW_historic
218499,Black-throated Blue Warbler,historic,1888,Michigan,?,45.425,-86.4834,BTBW,BTBW_historic
23489,Black-throated Blue Warbler,historic,1952,New York,Ithaca,41.991,-74.32,BTBW,BTBW_historic
23848,Black-throated Blue Warbler,historic,1950,New York,Bear Spring Mountain,42.144,-75.121,BTBW,BTBW_historic
23849,Black-throated Blue Warbler,historic,1950,New York,Bear Spring Mountain,42.144,-75.121,BTBW,BTBW_historic
23850,Black-throated Blue Warbler,historic,1950,New York,"Newcomb, Goodnow Mountain, elevation 2000 feet.",43.969,-74.164,BTBW,BTBW_historic
23854,Myrtle Warbler,historic,1952,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
23858,Myrtle Warbler,historic,1950,New York,Newcomb - Adirondack Area,43.969,-74.164,YRWA,YRWA_historic
23859,Myrtle Warbler,historic,1950,New York,Newcomb - Adirondack Area,43.969,-74.164,YRWA,YRWA_historic
23870,Blackpoll Warbler,historic,1950,New York,Whiteface Mountain - Adirondack Area,44.365,-73.904,BLPW,BLPW_historic
23871,Blackpoll Warbler,historic,1950,New York,Whiteface Mountain - Adirondack Area,44.365,-73.904,BLPW,BLPW_historic
24219,Myrtle Warbler,historic,1952,New York,Ithaca,42.448,-76.497,YRWA,YRWA_historic
24406,Myrtle Warbler,historic,1953,New York,Whiteface Mountain - Adirondack Area,44.365,-73.904,YRWA,YRWA_historic
24407,Myrtle Warbler,historic,1953,New York,Whiteface Mountain - Adirondack Area,44.365,-73.904,YRWA,YRWA_historic
24408,Myrtle Warbler,historic,1953,New York,Whiteface Mountain - Adirondack Area,44.365,-73.904,YRWA,YRWA_historic
24413,Myrtle Warbler,historic,1953,New York,Whiteface Mountain - Adirondack Area,44.365,-73.904,YRWA,YRWA_historic
25334,Blackpoll Warbler,historic,1955,New York,"Bridgeport, Adirondack Area",43.145,-75.97,BLPW,BLPW_historic
25335,Blackpoll Warbler,historic,1955,New York,"Bridgeport, Adirondack Area",43.145,-75.97,BLPW,BLPW_historic
275,Prairie Warbler,contemporary,2012,Massachusetts,Montague area,42.544,-72.514,PRAW,PRAW_contemporary
276017404,Prairie Warbler,contemporary,2014,New Hampshire,Beaudette,43.113,-70.933,PRAW,PRAW_contemporary
276017405,Prairie Warbler,contemporary,2014,New Hampshire,Beaudette,43.113,-70.933,PRAW,PRAW_contemporary
276017406,Prairie Warbler,contemporary,2014,New Hampshire,Beaudette,43.113,-70.933,PRAW,PRAW_contemporary
276017407,Prairie Warbler,contemporary,2014,New Hampshire,Beaudette,43.113,-70.933,PRAW,PRAW_contemporary
276017429,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017430,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017431,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017432,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017442,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017465,Prairie Warbler,contemporary,2014,New Hampshire,EFossFarmNEC,43.126,-70.936,PRAW,PRAW_contemporary
276017478,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017479,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017481,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017483,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017485,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017486,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017487,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017488,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276017489,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
276026238,Prairie Warbler,contemporary,2014,New Hampshire,PWRLnHannDov,43.182,-70.941,PRAW,PRAW_contemporary
283,Prairie Warbler,contemporary,2012,Massachusetts,Montague area,42.544,-72.514,PRAW,PRAW_contemporary
285,Prairie Warbler,contemporary,2012,Massachusetts,Montague area,42.544,-72.514,PRAW,PRAW_contemporary
28584,Blackpoll Warbler,historic,1953,New York,Whiteface Mountain - Adirondack Area,44.365,-73.904,BLPW,BLPW_historic
295217,Myrtle Warbler,historic,1921,New Hampshire,Concord,43.228,-71.574,YRWA,YRWA_historic
30168,Blackpoll Warbler,historic,1953,New York,Whiteface Mountain - Adirondack Area,44.365,-73.904,BLPW,BLPW_historic
307,Prairie Warbler,contemporary,2012,Massachusetts,Montague area,42.544,-72.514,PRAW,PRAW_contemporary
3091,Black-throated Blue Warbler,historic,1789,Michigan,Bay County,43.68,-84.017,BTBW,BTBW_historic
3092,Black-throated Blue Warbler,historic,1789,Michigan,Bay County,43.68,-84.017,BTBW,BTBW_historic
3093,Black-throated Blue Warbler,historic,1789,Michigan,Bay County,43.68,-84.017,BTBW,BTBW_historic
309613,Prairie Warbler,historic,1904,Massachusetts,Lancaster - Worcester County,42.475,-71.683,PRAW,PRAW_historic
